#node	identifier	node_degree
4930432K21Rik	10090.ENSMUSP00000113651	9
4930447C04Rik	10090.ENSMUSP00000035376	25
Ankrd31	10090.ENSMUSP00000146720	16
Ccdc36	10090.ENSMUSP00000075898	21
Ccnb1ip1	10090.ENSMUSP00000093622	14
Gm960	10090.ENSMUSP00000136515	18
Hfm1	10090.ENSMUSP00000108310	20
Hormad1	10090.ENSMUSP00000029754	31
Hormad2	10090.ENSMUSP00000105574	28
Hsf2bp	10090.ENSMUSP00000157466	19
Majin	10090.ENSMUSP00000109156	17
Mei1	10090.ENSMUSP00000140479	26
Meiob	10090.ENSMUSP00000024972	29
Msh4	10090.ENSMUSP00000005630	27
Msh5	10090.ENSMUSP00000007250	9
Prdm9	10090.ENSMUSP00000156841	21
Rec114	10090.ENSMUSP00000096271	18
Rnf212	10090.ENSMUSP00000148758	26
Rnf212b	10090.ENSMUSP00000151344	8
Shoc1	10090.ENSMUSP00000103171	20
Spata22	10090.ENSMUSP00000090602	25
Spdya	10090.ENSMUSP00000125912	3
Spo11	10090.ENSMUSP00000059056	32
Syce1	10090.ENSMUSP00000026553	29
Syce2	10090.ENSMUSP00000131438	26
Syce3	10090.ENSMUSP00000131766	20
Sycp1	10090.ENSMUSP00000029448	30
Sycp2	10090.ENSMUSP00000079909	25
Sycp3	10090.ENSMUSP00000020252	31
Terb1	10090.ENSMUSP00000067324	20
Terb2	10090.ENSMUSP00000028661	19
Tex11	10090.ENSMUSP00000009814	26
Tex12	10090.ENSMUSP00000149921	21
Tex14	10090.ENSMUSP00000054444	7
Tex15	10090.ENSMUSP00000009772	16
